Number of Isolates,Pangenome Size
1,3592
1,3591
1,3591
1,3590
1,3606
1,3589
1,3593
1,3593
1,3593
1,3597
1,3603
1,3591
1,3591
1,3585
1,3596
1,3598
1,3594
1,3593
1,3590
1,3589
1,3592
1,3595
1,3591
1,3581
1,3592
1,3598
1,3592
1,3653
1,3586
1,3591
1,3607
1,3589
1,3614
1,3653
1,3590
1,3591
1,3591
1,3585
1,3594
1,3597
1,3592
1,3593
1,3587
1,3592
1,3607
1,3603
1,3653
1,3607
1,3604
1,3591
2,3615
2,3608
2,3621
2,3629
2,3627
2,3617
2,3600
2,3614
2,3608
2,3640
2,3600
2,3610
2,3593
2,3623
2,3637
2,3616
2,3609
2,3595
2,3618
2,3622
2,3620
2,3595
2,3615
2,3641
2,3630
2,3594
2,3691
2,3642
2,3608
2,3636
2,3611
2,3644
2,3687
2,3627
2,3601
2,3603
2,3596
2,3624
2,3631
2,3620
2,3622
2,3634
2,3640
2,3617
2,3621
2,3670
2,3627
2,3639
2,3618
2,3606
3,3613
3,3663
3,3650
3,3630
3,3627
3,3625
3,3633
3,3619
3,3675
3,3627
3,3614
3,3632
3,3635
3,3647
3,3633
3,3609
3,3619
3,3619
3,3654
3,3641
3,3640
3,3635
3,3645
3,3655
3,3617
3,3697
3,3643
3,3608
3,3639
3,3619
3,3644
3,3690
3,3635
3,3608
3,3611
3,3600
3,3649
3,3633
3,3641
3,3641
3,3655
3,3652
3,3627
3,3636
3,3673
3,3651
3,3641
3,3649
3,3628
3,3648
4,3663
4,3653
4,3632
4,3628
4,3629
4,3639
4,3645
4,3683
4,3647
4,3633
4,3635
4,3655
4,3649
4,3635
4,3630
4,3669
4,3640
4,3669
4,3660
4,3644
4,3655
4,3664
4,3659
4,3618
4,3698
4,3647
4,3659
4,3650
4,3635
4,3647
4,3691
4,3635
4,3624
4,3629
4,3646
4,3656
4,3633
4,3653
4,3648
4,3655
4,3652
4,3631
4,3664
4,3676
4,3654
4,3648
4,3670
4,3640
4,3660
4,3653
5,3667
5,3654
5,3649
5,3659
5,3639
5,3671
5,3684
5,3650
5,3633
5,3669
5,3672
5,3671
5,3635
5,3674
5,3670
5,3667
5,3669
5,3671
5,3665
5,3671
5,3667
5,3660
5,3670
5,3699
5,3648
5,3659
5,3650
5,3639
5,3666
5,3698
5,3655
5,3630
5,3632
5,3668
5,3656
5,3633
5,3661
5,3666
5,3655
5,3677
5,3657
5,3671
5,3681
5,3667
5,3668
5,3671
5,3655
5,3673
5,3662
5,3652
6,3665
6,3651
6,3671
6,3645
6,3679
6,3691
6,3656
6,3635
6,3669
6,3672
6,3674
6,3638
6,3677
6,3698
6,3685
6,3669
6,3678
6,3666
6,3679
6,3667
6,3684
6,3670
6,3707
6,3650
6,3660
6,3660
6,3678
6,3669
6,3720
6,3669
6,3656
6,3638
6,3672
6,3656
6,3634
6,3663
6,3667
6,3660
6,3685
